striker,n_balls_mi,mean_P_j,mean_RPB,mean_BoundaryRate,mean_DismissalRate,NCBPI,confidence,CWBPI,CWBPI_normalized
Abdul Samad,34,0.5735294117647058,1.5588235294117647,0.1764705882352941,0.1470588235294117,0.8382352941176471,0.0636704119850187,0.8688485323578085,0.8265993628549884
V Kohli,377,0.6591511936339522,1.23342175066313,0.129973474801061,0.0424403183023872,0.8660477453580901,0.4298745724059293,0.8688313754607409,0.8265830402398759
JJ Bumrah,11,0.5,1.4545454545454546,0.0909090909090909,0.0,0.7727272727272727,0.0215264187866927,0.8688162745187274,0.8265686736056677
R Bhatia,7,0.5,1.4285714285714286,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.0138067061143984,0.8687674877299207,0.8265222591536182
AD Russell,45,0.5,1.511111111111111,0.2222222222222222,0.0444444444444444,0.8444444444444444,0.0825688073394495,0.8687433326221464,0.8264992786271487
Dhruv Jurel,44,0.5,1.4545454545454546,0.2272727272727272,0.0,0.8409090909090909,0.0808823529411764,0.8685020519835841,0.8262697306510893
SB Jakati,2,0.5,0.5,0.0,0.0,0.25,0.0039840637450199,0.8684564069304178,0.8262263051626876
JR Hazlewood,2,0.5,0.5,0.0,0.0,0.25,0.0039840637450199,0.8684564069304178,0.8262263051626876
SK Trivedi,2,0.5,0.5,0.0,0.0,0.25,0.0039840637450199,0.8684564069304178,0.8262263051626876
KR Mayers,13,0.5,1.3846153846153846,0.2307692307692307,0.0769230769230769,0.7692307692307693,0.0253411306042884,0.8683530531755745,0.8261279771518544
AN Ahmed,13,0.5,1.3846153846153846,0.1538461538461538,0.0,0.7692307692307693,0.0253411306042884,0.8683530531755745,0.8261279771518544
R Vinay Kumar,24,0.8333333333333334,1.0,0.0833333333333333,0.125,0.8125,0.0458015267175572,0.8682540387005149,0.8260337774162853
Sanvir Singh,1,0.5,0.0,0.0,1.0,-0.5,0.0019960079840319,0.8681938448684027,0.8259765106069177
DG Nalkande,1,0.5,0.0,0.0,1.0,-0.5,0.0019960079840319,0.8681938448684027,0.8259765106069177
PWH de Silva,1,0.5,0.0,0.0,1.0,-0.5,0.0019960079840319,0.8681938448684027,0.8259765106069177
N Pooran,1,0.5,0.0,0.0,1.0,-0.5,0.0019960079840319,0.8681938448684027,0.8259765106069177
M Morkel,1,0.5,0.0,0.0,1.0,-0.5,0.0019960079840319,0.8681938448684027,0.8259765106069177
C de Grandhomme,1,0.5,0.0,0.0,1.0,-0.5,0.0019960079840319,0.8681938448684027,0.8259765106069177
Harmeet Singh,1,0.5,0.0,0.0,1.0,-0.5,0.0019960079840319,0.8681938448684027,0.8259765106069177
A Nehra,1,0.5,0.0,0.0,1.0,-0.5,0.0019960079840319,0.8681938448684027,0.8259765106069177
Sunny Gupta,1,0.5,0.0,0.0,1.0,-0.5,0.0019960079840319,0.8681938448684027,0.8259765106069177
AK Markram,27,0.9629629629629628,0.7777777777777778,0.1111111111111111,0.074074074074074,0.8148148148148148,0.0512333965844402,0.8680552491063942,0.8258446542886942
Ishan Kishan,181,0.7071823204419889,1.132596685082873,0.1325966850828729,0.0276243093922651,0.8591160220994475,0.2657856093979442,0.8677901854318204,0.825592479765335
DW Steyn,7,0.5,1.2857142857142858,0.1428571428571428,0.1428571428571428,0.6428571428571429,0.0138067061143984,0.8677812944360351,0.8255840211086445
SN Khan,22,0.5,1.4545454545454546,0.1818181818181818,0.0454545454545454,0.7954545454545454,0.0421455938697318,0.8677492649024324,0.8255535490630779
DH Yagnik,22,0.5,1.4090909090909092,0.2272727272727272,0.0454545454545454,0.7954545454545454,0.0421455938697318,0.8677492649024324,0.8255535490630779
B Lee,3,0.5,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0059642147117296,0.8677238892228027,0.8255294073170395
S Nadeem,3,0.5,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0059642147117296,0.8677238892228027,0.8255294073170395
